Staff involved,ACF,ACL,AHRQ,ARPA-H,ASPR,CDC,CMS,FDA,HRSA,IHS,NIH,OS,SAMHSA,TOTAL
Staff normally paid from or shifted to administrative funds appropriated in authorizing legislation.,40,0,0,0,0,89,1924,0,62,0,0,1565,0,3680
Staff normally paid from or shifted to carryover funding or advanced appropriations,599,9,26,88,531,2379,531,12504,1141,8233,5,1059,48,27153
Staff normally paid from or shifted to reimbursable funding for which the reimbursement is not paid from funds provided by the lapsed FY24 appropriation.,13,3,0,0,0,85,0,59,0,6853,0,24,0,7037
Staff normally paid from or shifted to user fees appropriated in authorizing legislation.,0,0,0,0,0,0,556,31,38,0,0,0,0,625
Commissioned Corps (excepted),6,0,5,0,112,739,84,359,73,0,173,137,41,1729
HHS officers appointed by the President (exempt),2,0,0,0,1,0,1,1,0,0,1,8,1,15
"Activities required to ensure that fully funded programs continue operation, and that funded entitlement benefits are paid",27,0,0,0,0,313,121,183,69,0,71,310,0,1094
Law enforcement activities.,0,0,0,0,0,0,0,0,0,0,67,0,0,67
Orderly phase-down and suspension of operations,43,12,6,0,3,460,0,59,66,0,252,202,38,1141
Other,0,0,0,0,0,61,0,0,0,0,69,79,0,209
Staff to be furloughed.,856,172,250,0,377,10120,3329,5059,1257,0,15139,2360,677,39596
"Subtotal, authorized by law",1586,196,287,88,1024,14246,6546,18255,2706,15086,15777,5744,805,82346
Direct medical services provided through clinics and hospitals that the OPDIV operates,0,0,0,0,0,1,0,0,7,0,2314,0,0,2322
Other,0,0,0,0,54,530,0,1236,0,0,0,1,3,1824
Maintain computer data,2,0,0,0,0,161,0,14,5,0,197,49,0,428
Maintenance of animals & protection of inanimate government property,0,0,0,0,0,88,0,12,0,0,718,80,2,900
Other,0,0,0,0,0,66,0,0,3,0,0,0,0,69
Protect ongoing medical experiments.,0,0,0,0,0,59,0,127,7,0,649,0,0,842
"Subtotal, safety of human life and protection of property",2,0,0,0,54,905,0,1389,22,0,3878,130,5,6385
Total on board staffing,1588,196,287,88,1078,15151,6546,19644,2728,15086,19655,5874,810,88731
Total number of staff to be retained,732,24,37,88,701,5031,3217,14585,1471,15086,4516,3514,133,49135
Exempt,654,12,26,88,532,2553,3012,12595,1241,15086,6,2656,49,38510
Excepted,78,12,11,0,169,2478,205,1990,230,0,4510,858,84,10625
Number of staff to be furloughed,856,172,250,0,377,10120,3329,5059,1257,0,15139,2360,677,39596
Percent Retained,0.46,0.12,0.13,1,0.65,0.33,0.49,0.74,0.54,1,0.23,0.6,0.16,0.55
Percent Exempt,0.41,0.06,0.09,1,0.49,0.17,0.46,0.64,0.45,1,0,0.45,0.06,0.43
Percent Excepted,0.05,0.06,0.04,0,0.16,0.16,0.03,0.1,0.08,0,0.23,0.15,0.1,0.12
Percent Furloughed,0.54,0.88,0.87,0,0.35,0.67,0.51,0.26,0.46,0,0.77,0.4,0.84,0.45
Life & Property as % Excepted,0,0,0,0,0.05,0.06,0,0.07,0.01,0,0.2,0.02,0.01,0.07
